Company,Ticker,Type,InvestedBy,RecentAdds,RecentDels,investorTypeCount,investorType,InvestedByList,RecentAddsList,RecentDelsList
Coforge,COFORGE,RecentAdd,5,2,1,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Kotak Emergency Equity Scheme
Neuland Labs.,NEULANDLAB,RecentAdd,4,2,0,2,HNI | FII,Mukul Mahavir Agrawal | Ashish Rameshchandra Kacholia | Small Cap World Fund Inc | Jupiter India Fund,Small Cap World Fund Inc | Jupiter India Fund,
Ipca Labs.,IPCALAB,RecentAdd,4,2,0,2,DII | FII,Parag Parikh Flexi Cap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme,
Gland Pharma,GLAND,RecentAdd,4,2,0,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,
Dilip Buildcon,DBL,RecentAdd,3,2,0,3,HNI | DII | FII,Akash Bhanshali | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Akash Bhanshali | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,
Ethos Ltd,ETHOSLTD,RecentAdd,3,2,1,2,HNI | FII,Mukul Mahavir Agrawal | Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,Mukul Mahavir Agrawal
Delhivery,DELHIVERY,RecentAdd,2,2,0,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc,
Cartrade Tech,CARTRADE,RecentAdd,2,2,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,
Balrampur Chini,BALRAMCHIN,RecentAdd,4,1,0,3,HNI | DII | FII,Akash Bhanshali | Quant Mutual Fund - Quant Small Cap Fund | Massachusetts Institue of Technology | Goldman Sachs Funds - Goldman Sachs India Equity P,Quant Mutual Fund - Quant Small Cap Fund,
Ramkrishna Forg.,RKFORGE,RecentAdd,4,1,0,3,HNI | DII | FII,Akash Bhanshali | Kotak Emergency Equity Scheme | Massachusetts Institue of Technology | Small Cap World Fund Inc,Small Cap World Fund Inc,
Indian Energy Ex,IEX,RecentAdd,4,1,0,2,DII | FII,Parag Parikh Flexi Cap Fund | Massachusetts Institue of Technology | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Massachusetts Institue of Technology,
Amber Enterp.,AMBER,RecentAdd,3,1,0,3,HNI | DII | FII,Akash Bhanshali | Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
J Kumar Infra,JKIL,RecentAdd,3,1,0,3,HNI | DII | FII,Mukul Mahavir Agrawal | 3P India Equity Fund 1 | Goldman Sachs Funds - Goldman Sachs India Equity P,3P India Equity Fund 1,
MSTC,MSTCLTD,RecentAdd,3,1,0,2,HNI | FII,Mukul Mahavir Agrawal | Ashish Rameshchandra Kacholia | Jupiter India Fund,Jupiter India Fund,
Persistent Sys,PERSISTENT,RecentAdd,3,1,0,1,DII,Parag Parikh Flexi Cap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme,Kotak Emergency Equity Scheme,
Page Industries,PAGEIND,RecentAdd,3,1,0,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Kotak Emergency Equity Scheme | Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund,
PB Fintech.,POLICYBZR,RecentAdd,3,1,2,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc
Cummins India,CUMMINSIND,RecentAdd,3,1,1,2,DII | FII,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Small Cap World Fund Inc,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,Kotak Emergency Equity Scheme
H P C L,HINDPETRO,RecentAdd,3,1,1,2,DII | FII,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Jupiter India Fund,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,Kotak Emergency Equity Scheme
Kajaria Ceramics,KAJARIACER,RecentAdd,3,1,0,2,DII | FII,Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Kotak Emergency Equity Scheme,
CMS Info Systems,CMSINFO,RecentAdd,3,1,0,1,FII,Massachusetts Institue of Technology | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Goldman Sachs Funds - Goldman Sachs India Equity P,
Mahindra Holiday,MHRIL,RecentAdd,2,1,0,2,HNI | DII,Vijay Kishanlal Kedia | 3P India Equity Fund 1,3P India Equity Fund 1,
Vaibhav Global,VAIBHAVGBL,RecentAdd,2,1,1,1,HNI,Vijay Kishanlal Kedia | Ashish Rameshchandra Kacholia,Vijay Kishanlal Kedia,Ashish Rameshchandra Kacholia
Mah. Seamless,MAHSEAMLES,RecentAdd,2,1,0,2,HNI | DII,Akash Bhanshali | Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Usha Martin,USHAMART,RecentAdd,2,1,0,2,HNI | DII,Akash Bhanshali | Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Capacit'e Infra.,CAPACITE,RecentAdd,2,1,0,2,HNI | FII,Mukul Mahavir Agrawal | Goldman Sachs Funds - Goldman Sachs India Equity P,Mukul Mahavir Agrawal,
Lux Industries,LUXIND,RecentAdd,2,1,0,2,HNI | FII,Mukul Mahavir Agrawal | Jupiter India Fund,Mukul Mahavir Agrawal,
Barbeque-Nation,BARBEQUE,RecentAdd,2,1,1,2,HNI | FII,Ashish Rameshchandra Kacholia | Massachusetts Institue of Technology,Massachusetts Institue of Technology,Ashish Rameshchandra Kacholia
Gravita India,GRAVITA,RecentAdd,2,1,1,2,HNI | FII,Ashish Rameshchandra Kacholia | Jupiter India Fund,Jupiter India Fund,Ashish Rameshchandra Kacholia
SJS Enterprises,SJS,RecentAdd,2,1,0,2,HNI | FII,Ashish Rameshchandra Kacholia | Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Time Technoplast,TIMETECHNO,RecentAdd,2,1,0,2,HNI | DII,Ashish Rameshchandra Kacholia | 3P India Equity Fund 1,3P India Equity Fund 1,
Balkrishna Inds,BALKRISIND,RecentAdd,2,1,0,1,DII,Parag Parikh Flexi Cap Fund | Kotak Emergency Equity Scheme,Parag Parikh Flexi Cap Fund,
Bharat Forge,BHARATFORG,RecentAdd,2,1,0,1,DII,Mirae Asset Large &amp; Midcap Fund | Kotak Emergency Equity Scheme,Mirae Asset Large &amp; Midcap Fund,
Fortis Health.,FORTIS,RecentAdd,2,1,1,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Jupiter India Fund,Jupiter India Fund,Mirae Asset Large &amp; Midcap Fund
Guj.St.Petronet,GSPL,RecentAdd,2,1,0,1,DII,Mirae Asset Large &amp; Midcap Fund | Kotak Emergency Equity Scheme,Mirae Asset Large &amp; Midcap Fund,
L&T Finance Ltd,LTF,RecentAdd,2,1,0,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund,
Whirlpool India,WHIRLPOOL,RecentAdd,2,1,1,1,DII,Mirae Asset Large &amp; Midcap Fund | Kotak Emergency Equity Scheme,Mirae Asset Large &amp; Midcap Fund,Kotak Emergency Equity Scheme
Landmark Cars,LANDMARK,RecentAdd,2,1,1,2,DII | FII,3P India Equity Fund 1 | Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,3P India Equity Fund 1
AIA Engineering,AIAENG,RecentAdd,2,1,1,2,DII | FII,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | NALANDA INDIA EQUITY FUND nLIMITED,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,NALANDA INDIA EQUITY FUND nLIMITED
AU Small Finance,AUBANK,RecentAdd,2,1,1,2,DII | FII,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,Small Cap World Fund Inc
City Union Bank,CUB,RecentAdd,2,1,0,2,DII | FII,Kotak Emergency Equity Scheme | Small Cap World Fund Inc,Small Cap World Fund Inc,
Ratnamani Metals,RATNAMANI,RecentAdd,2,1,1,2,DII | FII,Kotak Emergency Equity Scheme | NALANDA INDIA EQUITY FUND nLIMITED,Kotak Emergency Equity Scheme,NALANDA INDIA EQUITY FUND nLIMITED
INDIA SHELTE FIN,INDIASHLTR,RecentAdd,2,1,1,2,DII | FII,Quant Mutual Fund - Quant Small Cap Fund | Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,Quant Mutual Fund - Quant Small Cap Fund
Thyrocare Tech.,THYROCARE,RecentAdd,2,1,0,2,DII | FII,Quant Mutual Fund - Quant Small Cap Fund | NALANDA INDIA EQUITY FUND nLIMITED,Quant Mutual Fund - Quant Small Cap Fund,
Mahindra Life.,MAHLIFE,RecentAdd,2,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Goldman Sachs Funds - Goldman Sachs India Equity P,
PVR Inox,PVRINOX,RecentAdd,2,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Goldman Sachs Funds - Goldman Sachs India Equity P,
Global Vectra,GLOBALVECT,RecentAdd,1,1,0,1,HNI,Vijay Kishanlal Kedia,Vijay Kishanlal Kedia,
One 97,PAYTM,RecentAdd,1,1,0,1,HNI,Akash Bhanshali,Akash Bhanshali,
Hind Rectifiers,HIRECT,RecentAdd,1,1,0,1,HNI,Mukul Mahavir Agrawal,Mukul Mahavir Agrawal,
ISMT,ISMTLTD,RecentAdd,1,1,0,1,HNI,Mukul Mahavir Agrawal,Mukul Mahavir Agrawal,
Bajaj Holdings,BAJAJHLDNG,RecentAdd,1,1,0,1,DII,Parag Parikh Flexi Cap Fund,Parag Parikh Flexi Cap Fund,
C D S L,CDSL,RecentAdd,1,1,0,1,DII,Parag Parikh Flexi Cap Fund,Parag Parikh Flexi Cap Fund,
Coal India,COALINDIA,RecentAdd,1,1,0,1,DII,Parag Parikh Flexi Cap Fund,Parag Parikh Flexi Cap Fund,
Mah. Scooters,MAHSCOOTER,RecentAdd,1,1,0,1,DII,Parag Parikh Flexi Cap Fund,Parag Parikh Flexi Cap Fund,
Craftsman Auto,CRAFTSMAN,RecentAdd,1,1,0,1,DII,Mirae Asset Large &amp; Midcap Fund,Mirae Asset Large &amp; Midcap Fund,
Deepak Nitrite,DEEPAKNTR,RecentAdd,1,1,0,1,DII,Mirae Asset Large &amp; Midcap Fund,Mirae Asset Large &amp; Midcap Fund,
Go Digit General,GODIGIT,RecentAdd,1,1,0,1,DII,Mirae Asset Large &amp; Midcap Fund,Mirae Asset Large &amp; Midcap Fund,
Lupin,LUPIN,RecentAdd,1,1,0,1,DII,Mirae Asset Large &amp; Midcap Fund,Mirae Asset Large &amp; Midcap Fund,
Jindal Steel,JINDALSTEL,RecentAdd,1,1,0,1,DII,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,
KNR Construct.,KNRCON,RecentAdd,1,1,0,1,DII,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,
Blue Star,BLUESTARCO,RecentAdd,1,1,0,1,DII,Kotak Emergency Equity Scheme,Kotak Emergency Equity Scheme,
Emami,EMAMILTD,RecentAdd,1,1,0,1,DII,Kotak Emergency Equity Scheme,Kotak Emergency Equity Scheme,
Oberoi Realty,OBEROIRLTY,RecentAdd,1,1,0,1,DII,Kotak Emergency Equity Scheme,Kotak Emergency Equity Scheme,
Aarti Pharma,AARTIPHARM,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Apeejay Surrend.,PARKHOTELS,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Engineers India,ENGINERSIN,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Exicom Tele-Sys.,EXICOM,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
H U D C O,HUDCO,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Indrapr.Medical,INDRAMEDCO,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Jubilant Pharmo,JUBLPHARMA,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Prime Securities,PRIMESECU,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
S C I,SCI,RecentAdd,1,1,0,1,DII,Quant Mutual Fund - Quant Small Cap Fund,Quant Mutual Fund - Quant Small Cap Fund,
Archean Chemical,ACI,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Gokaldas Exports,GOKEX,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Inox India,INOXINDIA,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
ISGEC Heavy,ISGEC,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
JK Lakshmi Cem.,JKLAKSHMI,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Jupiter Life Lin,JLHL,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
KFin Technolog.,KFINTECH,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Medplus Health,MEDPLUS,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Rategain Travel,RATEGAIN,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Spandana Sphoort,SPANDANA,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Suven Pharma,SUVENPHAR,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Zensar Tech.,ZENSARTECH,RecentAdd,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Aptus Value Hou.,APTUS,RecentAdd,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Entero Healthcar,ENTERO,RecentAdd,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
IIFL Finance,IIFL,RecentAdd,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Inox Wind,INOXWIND,RecentAdd,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Manappuram Fin.,MANAPPURAM,RecentAdd,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Medi Assist Ser.,MEDIASSIST,RecentAdd,1,1,0,1,FII,Jupiter India Fund,Jupiter India Fund,
Yatharth Hospit.,YATHARTH,RecentAdd,1,1,0,1,FII,Jupiter India Fund,Jupiter India Fund,
Atul,ATUL,RecentDel,3,0,3,1,DII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme,,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme
Laurus Labs,LAURUSLABS,RecentDel,4,0,2,3,HNI | DII | FII,Akash Bhanshali | Mirae Asset Large &amp; Midcap Fund | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc
PB Fintech.,POLICYBZR,RecentDel,3,1,2,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,Mirae Asset Large &amp; Midcap Fund | Small Cap World Fund Inc
SKF India,SKFINDIA,RecentDel,3,0,2,1,DII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme,,Mirae Asset Large &amp; Midcap Fund | Kotak Emergency Equity Scheme
Shankara Build.,SHANKARA,RecentDel,2,0,2,1,HNI,Mukul Mahavir Agrawal | Ashish Rameshchandra Kacholia,,Mukul Mahavir Agrawal | Ashish Rameshchandra Kacholia
Aditya Vision,540205,RecentDel,2,0,2,2,HNI | FII,Ashish Rameshchandra Kacholia | Small Cap World Fund Inc,,Ashish Rameshchandra Kacholia | Small Cap World Fund Inc
NIIT Learning,NIITMTS,RecentDel,2,0,2,2,HNI | FII,Ashish Rameshchandra Kacholia | Massachusetts Institue of Technology,,Ashish Rameshchandra Kacholia | Massachusetts Institue of Technology
Tata Comm,TATACOMM,RecentDel,2,0,2,1,DII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund,,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund
Solar Industries,SOLARINDS,RecentDel,2,0,2,1,DII,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme,,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme
PNC Infratech,PNCINFRA,RecentDel,2,0,2,2,DII | FII,Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P,,Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P
V-Guard Industri,VGUARD,RecentDel,2,0,2,2,DII | FII,Kotak Emergency Equity Scheme | NALANDA INDIA EQUITY FUND nLIMITED,,Kotak Emergency Equity Scheme | NALANDA INDIA EQUITY FUND nLIMITED
Bajaj Consumer,BAJAJCON,RecentDel,2,0,2,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund
MRF,MRF,RecentDel,2,0,2,1,FII,Small Cap World Fund Inc | NALANDA INDIA EQUITY FUND nLIMITED,,Small Cap World Fund Inc | NALANDA INDIA EQUITY FUND nLIMITED
Coforge,COFORGE,RecentDel,5,2,1,2,DII | FII,Mirae Asset Large &amp; Midcap Fund | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Kotak Emergency Equity Scheme | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Small Cap World Fund Inc,Kotak Emergency Equity Scheme
Repro India,REPRO,RecentDel,4,0,1,1,HNI,Madhuri Madhusudan Kela | Vijay Kishanlal Kedia | Mukul Mahavir Agrawal | Ashish Rameshchandra Kacholia,,Ashish Rameshchandra Kacholia
Delta Corp,DELTACORP,RecentDel,4,0,1,3,HNI | DII | FII,Mukul Mahavir Agrawal | Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,,Hdfc Mutual Fund-Hdfc Mid-Cap Oppurtunities Fund
KEI Industries,KEI,RecentDel,4,0,1,2,HNI | FII,Ashish Rameshchandra Kacholia | Massachusetts Institue of Technology | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,,Small Cap World Fund Inc
Matrimony.com,MATRIMONY,RecentDel,4,0,1,1,FII,Massachusetts Institue of Technology | Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc | NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
